1000	1313
11000	14436
21000	27433
31000	39626
41000	52148
51000	65757
61000	81968
71000	92812
81000	106646
91000	114713
101000	130665
111000	145578
121000	152102
131000	160961
141000	175612
151000	194221
161000	196933
171000	218051
181000	235066
191000	238183
201000	254946
211000	260370
221000	306080
231000	305322
241000	312988
251000	322062
261000	337100
271000	343548
281000	346177
291000	363175
301000	371248
311000	385886
321000	398274
331000	407627
341000	425520
351000	435462
361000	446723
371000	466945
381000	470841
391000	484545
401000	495401
411000	510716
421000	522747
431000	535163
441000	544504
451000	567181
461000	570601
471000	586283
481000	597577
491000	623256
501000	817015
511000	681612
521000	668581
531000	705381
541000	764938
551000	772537
561000	770772
571000	754011
581000	756304
591000	753235
601000	801445
611000	769831
621000	773750
631000	784016
641000	795450
651000	811195
661000	822932
671000	839393
681000	845430
691000	860989
701000	882084
711000	884763
721000	894898
731000	907829
741000	927789
751000	938267
761000	946631
771000	956503
781000	972625
791000	992835
801000	1002096
811000	1009377
821000	1022927
831000	1061629
841000	1051477
851000	1066097
861000	1075161
871000	1100365
881000	1097894
891000	1107756
901000	1128369
911000	1137051
921000	1152726
931000	1166050
941000	1175802
951000	1183271
961000	1314162
971000	1259360
981000	1302994
991000	1303142
1001000	1261994
