1000	131
2000	230
3000	173
4000	182
5000	203
6000	174
7000	196
8000	228
9000	162
10000	248
11000	252
12000	187
13000	200
14000	178
15000	195
16000	243
17000	166
18000	262
19000	177
20000	200
21000	242
22000	214
23000	256
24000	175
25000	180
26000	260
27000	184
28000	170
29000	167
30000	183
31000	248
32000	255
33000	170
34000	169
35000	274
36000	166
37000	159
38000	281
39000	214
40000	190
41000	263
42000	283
43000	289
44000	175
45000	207
46000	190
47000	269
48000	176
49000	186
50000	162
51000	167
52000	264
53000	186
54000	176
55000	167
56000	168
57000	178
58000	166
59000	277
60000	192
61000	277
62000	208
63000	276
64000	184
65000	169
66000	262
67000	179
68000	190
69000	208
70000	250
71000	306
72000	182
73000	183
74000	182
75000	292
76000	271
77000	315
78000	195
79000	285
80000	266
81000	196
82000	180
83000	197
84000	305
85000	271
86000	194
87000	198
88000	235
89000	209
90000	242
91000	267
92000	191
93000	212
94000	329
95000	245
96000	319
97000	265
98000	227
99000	322
100000	242
101000	232
102000	310
103000	249
104000	246
105000	218
106000	219
107000	244
108000	259
109000	220
110000	228
111000	255
112000	215
113000	324
114000	219
115000	253
116000	319
117000	324
118000	217
119000	244
120000	244
121000	267
122000	336
123000	320
124000	329
125000	326
126000	216
127000	262
128000	245
129000	257
130000	238
131000	342
132000	241
133000	231
134000	226
135000	226
136000	349
137000	294
138000	333
139000	311
140000	332
141000	333
142000	340
143000	325
144000	337
145000	321
146000	330
147000	333
148000	324
149000	336
150000	221
151000	237
152000	230
153000	235
154000	238
155000	310
156000	352
157000	345
158000	338
159000	332
160000	333
161000	235
162000	228
163000	242
164000	235
165000	233
166000	227
167000	352
168000	220
169000	366
170000	232
171000	231
172000	233
173000	219
174000	239
175000	219
176000	226
177000	367
178000	222
179000	234
180000	226
181000	419
182000	409
183000	250
184000	356
185000	243
186000	239
187000	249
188000	237
189000	283
190000	263
191000	251
192000	245
193000	247
194000	252
195000	358
196000	249
197000	424
198000	248
199000	369
200000	250
201000	240
202000	230
203000	248
204000	233
205000	255
206000	245
207000	237
208000	238
209000	245
210000	229
211000	232
212000	266
213000	432
214000	419
215000	434
216000	437
217000	252
218000	262
219000	281
220000	248
221000	263
222000	240
223000	240
224000	240
225000	235
226000	245
227000	248
228000	246
229000	232
230000	391
231000	245
232000	238
233000	261
234000	229
235000	242
236000	241
237000	245
238000	246
239000	246
240000	233
241000	242
242000	251
243000	237
244000	235
245000	252
246000	238
247000	249
248000	264
249000	243
250000	253
251000	274
252000	423
253000	296
254000	439
255000	267
256000	391
257000	463
258000	316
259000	298
260000	1552
261000	595
262000	285
263000	306
264000	623
265000	472
266000	619
267000	314
268000	440
269000	285
270000	274
271000	264
272000	265
273000	253
274000	438
275000	272
276000	592
277000	327
278000	271
279000	277
280000	262
281000	275
282000	263
283000	260
284000	260
285000	270
286000	312
287000	259
288000	244
289000	258
290000	267
